School,Name,Active,
5012,THEODORE ROOSEVELT ELEMENTARY SCHOOL,A,
4111,THOMAS JEFFERSON MIDDLE SCHOOL,A,
11,TITUSVILLE HIGH SCHOOL,A,
4041,TROPICAL ELEMENTARY SCHOOL,A,
2051,UNIVERSITY PARK ELEMENTARY SCHOOL,A,
6540,VIERA CHARTER SCHOOL,A,
3161,VIERA ELEMENTARY SCHOOL,A,
1171,VIERA HIGH SCHOOL,A,
3171,VIERA MIDDLE SCHOOL,A,
2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,A,
3141,WEST SHORE JUNIOR/SENIOR HIGH SCHOOL,A,
2212,WESTSIDE ELEMENTARY SCHOOL,A,
9240,ADULT/COMMUNITY EDUCATION,C,
1019,ALTERNATIVE SCHOOL,C,
1003,BEHAVIORAL HEALTH SERVICES,C,
1103,BREVARD ACHIEVEMENT CENTER,C,
1002,BREVARD GROUP TREATMENT HOME,C,
7023,BREVARD VIRTUAL ESCHOOL,C,
7006,BREVARD VIRTUAL INSTRUCTION (COURSE OFFERINGS),C,
7001,BREVARD VIRTUAL INSTRUCTION PROGRAM,C,
1104,"BRIDGES BTC, INC",C,
6506,CAMPUS CHARTER SCHOOL,C,
1112,CENTRAL PINE GROVE ADULT EDUCATION,C,
1111,CENTRAL PINE GROVE SCHOOL,C,
1013,CHILDREN'S INTERAGENCY PROGRAM,C,
1031,CLEARLAKE MIDDLE SCHOOL,C,
1122,COCOA HIGH ADULT EDUCATION,C,
85,COMMUNITY INCLUSION FACILITATION PROGRAM,C,
1001,CROSSWINDS/RAINWATER FOR GIRLS,C,
111,DEVEREUX CENTER AT WHISPERING HILLS,C,
3083,DEVEREUX SOUTH PINE GROVE,C,
1015,EARLY INTERVENTION CENTER,C,
2013,"EASTER SEALS FLORIDA, INC.",C,
6512,EINSTEIN MONTESSORI,C,
1023,ETP CENTER,C,
1022,EXCEPTIONAL EDUCATION CENTER,C,
6503,EXPLORER ELEMENTARY/MIDDLE CHARTER,C,
1026,FRANCES WALKER HALFWAY HOUSE,C,
4101,GARDENDALE ELEMENTARY MAGNET SCHOOL,C,
4013,GED TESTING,C,
6083,HOOVER JUNIOR HIGH ADULT EDUCATION,C,
1032,HORACE MANN ACADEMY,C,
9100,HUMAN RESOURCES,C,
1102,KENNEDY MIDDLE ADULT EDUCATION,C,
6546,LEGACY ACADEMY CHARTER,C,
3518,MCKAY SCHOLARSHIP/SCHOOL OF ENROLLMENT,C,
1027,MELBOURNE CENTER FOR PERSONAL GROWTH,C,
2012,MELBOURNE HIGH ADULT EDUCATION,C,
4012,MERRITT ISLAND ADULT EDUCATION,C,
3052,MID-SOUTH AREA ADULT COMMUNITY EDUCATION,C,
6502,NEW LIGHT SPECIAL CARE SCHOOL,C,
86,NORTH AREA ADULT EDUCATION-NIGHT PROGRAM,C,
1016,NORTH AREA ALTERNATIVE LEARNING CENTER,C,
83,NORTH AREA ARC CENTER,C,
1017,NORTH/CENTRAL AREA ALTERNATIVE LEARNING CENTER,C,
6516,OAKWOOD ACADEMY,C,
3818,OPPORTUNITY SCHOLARSHIP/SCHOOL OF ENROLLMENT,C,
6517,OSPREY ELEMENTARY SCHOOL,C,
1020,OUTWARD BOUND,C,
6519,PALM BAY COMMUNITY CHARTER-PATRIOT CAMPUS,C,
6520,PALM BAY MUNICIPAL CHARTER HIGH SCHOOL,C,
1024,PREKINDERGARTEN CENTERS,C,
1029,RIVERDALE COUNTRY DAY SCHOOL,C,
6505,RIVERS CHARTER ACADEMY,C,
71,RIVERVIEW ELEMENTARY SCHOOL,C,
72,RIVERVIEW SCHOOL,C,
6504,ROCKLEDGE EDUCATIONAL HORIZONS CHARTER SCHOOL (FORMERLY ED. HORIZONS),C,
6518,SAWGRASS ACADEMY,C,
