msid,school_name,appears_in_dropdown,school_active,school_level,grades_served,address,city_state_zip,opened_year,age_of_site_2026,last_major_renovation_year,site_acres,enrollment_2017,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,enrollment_2024,enrollment_2025,sy2526_actual,projected_2026_27,projected_2027_28,projected_2028_29,projected_2029_30,projected_2030_31,factored_capacity_2025_26,utilization_2025_26,assignment_capture_rate,other_district_capture_rate,choice_capture_rate,charter_capture_rate,fromto_resident_denominator,assignment_capture_students,other_district_capture_students,choice_capture_students,charter_capture_students,eth_hawaiian_native_pacific_islander,eth_asian,eth_black_non_hispanic,eth_hispanic,eth_amer_indian_or_alaskan_native,eth_multi_racial,eth_white_non_hispanic,lunch_not_free_reduced,lunch_free,lunch_reduced
89,GARDENDALE SEPARATE DAY SCHOOL,no,Active,,,,,,,N/A,,106,111,92,87,70,95,74,62,70,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,16,3,0,4,24,22,24,1
1002,BREVARD GROUP TREATMENT HOME,no,Inactive,,,,,,,N/A,,31,30,16,17,14,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1014,BREVARD COUNTY JAIL COMPLEX,no,Active,,,,,,,N/A,,5,9,11,8,3,3,9,10,8,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1017,NORTH/CENTRAL AREA ALTERNATIVE LEARNING CENTER,no,Inactive,,,,,,,N/A,,48,54,99,26,66,54,79,61,59,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1018,SOUTH AREA ALTERNATIVE LEARNING CENTER,no,Active,,,,,,,N/A,,54,70,68,19,75,66,80,70,66,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1021,PRE-K ESE SERVICES,no,Active,,,,,,,N/A,,191,221,179,130,175,211,221,141,141,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,16,4,0,7,89,121,,
1024,PREKINDERGARTEN CENTERS,no,Inactive,,,,,,,N/A,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,36,246,122,3,104,803,1333,,
1025,BREVARD COUNTY JUVENILE DETENTION CENTER,no,Active,,,,,,,N/A,,29,29,30,14,12,11,29,27,33,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,9,23,1,
1027,MELBOURNE CENTER FOR PERSONAL GROWTH,no,Inactive,,,,,,,N/A,,32,32,25,12,13,13,9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1028,DEVEREUX HOSPITAL,no,Active,,,,,,,N/A,,59,54,44,59,74,63,71,66,65,,,,,,,,,0,0,0,0,0,0,0,0,0,,,28,,,,33,61,,
1031,CLEARLAKE MIDDLE SCHOOL,no,Inactive,,,,,,,N/A,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1073,PROJECT SEARCH,no,Active,,,,,,,N/A,,43,37,46,52,34,41,49,19,20,,,,,,,,,0,0,0,0,0,0,0,0,0,,,5,4,,3,10,22,,
3081,SOUTH PINE GROVE SCHOOL,no,Inactive,,,,,,,N/A,,,,,,,,,,,,,,,,,117,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3450,PERSONALIZED EDUCATION PROGRAM (PEP) (NOT FEFP FUNDED),no,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,3,1,,5,22,32,,
4101,GARDENDALE ELEMENTARY MAGNET SCHOOL,no,Inactive,,,,,,,N/A,,,,,,,,,,,,,,,,,681,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
6501,PALM BAY ACADEMY CHARTER SCHOOL,no,Active,,,,,,,N/A,,540,560,426,340,356,362,392,369,353,,,,,,,,,0,0,0,0,0,0,0,0,0,2,3,171,53,2,36,79,124,201,21
6507,ODYSSEY CHARTER SCHOOL,no,Active,,,,,,,N/A,,1403,1447,1547,1665,1819,1848,1912,1915,1902,,,,,,,,,0,0,0,0,0,0,0,0,0,1,39,494,329,2,257,809,1218,611,102
6508,SCULPTOR CHARTER SCHOOL,no,Active,,,,,,,N/A,,551,553,552,553,556,556,560,558,553,,,,,,,,,0,0,0,0,0,0,0,0,0,1,27,15,36,1,37,439,440,94,22
6509,ROYAL PALM CHARTER SCHOOL,no,Active,,,,,,,N/A,,335,335,344,320,332,332,342,339,338,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,57,71,0,36,183,186,156,6
6511,EDUCATIONAL HORIZONS CHARTER,no,Active,,,,,,,N/A,,117,124,128,109,116,131,131,137,141,,,,,,,,,0,0,0,0,0,0,0,0,0,0,20,10,13,0,10,85,101,29,8
6515,IMAGINE SCHOOLS AT WEST MELBOURNE,no,Active,,,,,,,N/A,,409,438,443,502,535,586,617,664,755,,,,,,,,,0,0,0,0,0,0,0,0,0,0,22,154,107,2,88,348,344,315,62
6521,RIVERSIDE CHARTER HIGH SCHOOL,no,Active,,,,,,,N/A,,0,0,0,0,0,0,80,224,218,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,83,39,3,27,99,157,92,5
6523,EMMA JEWEL CHARTER ACADEMY,no,Active,,,,,,,N/A,,355,358,365,339,355,341,364,339,340,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,265,23,3,24,15,64,260,6
6529,PINEAPPLE COVE CLASSICAL ACADEMY AT LOCKMAR,no,Active,,,,,,,N/A,,0,0,0,0,0,562,690,724,749,,,,,,,,,0,0,0,0,0,0,0,0,0,1,33,82,78,3,61,484,442,242,58
6540,VIERA CHARTER SCHOOL,no,Active,,,,,,,N/A,,1047,1054,1052,1282,1350,1530,1562,1529,1523,,,,,,,,,0,0,0,0,0,0,0,0,0,4,53,128,215,6,140,963,1178,261,70
6541,ODYSSEY PREPARATORY CHARTER ACADEMY,no,Active,,,,,,,N/A,,374,405,404,415,413,458,457,462,444,,,,,,,,,0,0,0,0,0,0,0,0,0,2,7,123,68,0,41,220,261,176,24
6543,PINEAPPLE COVE CLASSICAL ACADEMY,no,Active,,,,,,,N/A,,602,602,859,919,1027,1043,1067,1065,1032,,,,,,,,,0,0,0,0,0,0,0,0,0,0,25,88,147,3,73,729,793,203,69
6554,PINEAPPLE COVE CLASSICAL ACADEMY AT WEST MELBOURNE,no,Active,,,,,,,N/A,,0,474,599,649,823,796,799,832,868,,,,,,,,,0,0,0,0,0,0,0,0,0,0,44,79,123,3,72,604,652,197,76
6558,PINECREST ACADEMY SPACE COAST,no,Active,,,,,,,N/A,,0,0,0,344,603,673,661,649,671,,,,,,,,,0,0,0,0,0,0,0,0,0,0,27,52,99,1,56,338,415,118,40
7004,BREVARD VIRTUAL FRANCHISE,no,Active,,,,,,,N/A,,139,166,143,1196,542,276,226,214,227,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,14,18,0,15,97,150,0,0
