msid,school_name,appears_in_dropdown,school_active,school_level,grades_served,address,city_state_zip,opened_year,age_of_site_2026,last_major_renovation_year,site_acres,enrollment_2017,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,enrollment_2024,enrollment_2025,sy2526_actual,projected_2026_27,projected_2027_28,projected_2028_29,projected_2029_30,projected_2030_31,factored_capacity_2025_26,utilization_2025_26,assignment_capture_rate,other_district_capture_rate,choice_capture_rate,charter_capture_rate,fromto_resident_denominator,assignment_capture_students,other_district_capture_students,choice_capture_students,charter_capture_students,eth_hawaiian_native_pacific_islander,eth_asian,eth_black_non_hispanic,eth_hispanic,eth_amer_indian_or_alaskan_native,eth_multi_racial,eth_white_non_hispanic,lunch_not_free_reduced,lunch_free,lunch_reduced
4111,THOMAS JEFFERSON MIDDLE SCHOOL,yes,Active,middle,'7-8,1275 S COURTENAY PKWY,"MERRITT ISLAND, FL 32952",1966,60,N/A,28,629,660,689,647,622,608,541,479,443,443,387,351,391,374,330,873,0.507,0.6530612245,0.1114599686,0.2244897959,0.010989011,637,416,71,143,7,0,12,29,50,0,57,295,263,160,20
4121,LEWIS CARROLL ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,1 SKYLINE BLVD,"MERRITT ISLAND, FL 32953",1968,58,N/A,16,652,664,670,593,614,626,628,636,591,591,581,552,536,506,499,751,0.787,0.7416267943,0.0526315789,0.1961722488,0.009569378,627,465,33,123,6,1,17,11,44,2,52,464,372,183,36
5011,COCOA BEACH JR/SR HIGH SCHOOL,yes,Active,jr_sr_high,'7-12,1500 MINUTEMEN CSWY,COCOA BEACH FL 32931,1964,62,N/A,40,1004,1013,1003,964,943,983,1028,1049,997,997,984,921,895,859,832,1490,0.669,0.92228739,0.0483870968,0.0278592375,0.0014662757,682,629,33,19,1,0,38,32,112,5,73,737,760,200,37
5012,THEODORE ROOSEVELT ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,1400 MINUTEMEN CSWY,"COCOA BEACH, FL 32931",1967,59,N/A,25,390,380,345,263,263,288,268,275,276,276,513,511,492,482,471,599,0.461,0.7185430464,0.0794701987,0.1887417219,0.0132450331,302,217,24,57,4,1,4,11,33,2,36,189,173,78,25
5021,FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,yes,Active,elementary,'K-6,400 S FOURTH ST,"COCOA BEACH, FL 32931",1958,68,N/A,12,408,387,404,395,406,403,407,408,410,410,410,410,410,410,410,475,0.863,0,0,0,0,0,0,0,0,0,2,47,10,43,2,35,271,365,34,11
5031,CAPE VIEW ELEMENTARY SCHOOL,yes,Inactive,elementary,'K-6,8440 N ROSALIND AV,"CAPE CANAVERAL, FL 32920",1964,62,N/A,11,381,381,360,302,278,305,295,273,266,266,0,0,0,0,0,570,0.467,0.737704918,0.1016393443,0.1573770492,0.0032786885,305,225,31,48,1,2,3,5,44,0,28,184,133,116,17
6011,SATELLITE SENIOR HIGH SCHOOL,yes,Active,high,'9-12,300 SCORPION CT,"SATELLITE BEACH, FL 32937",1962,64,2008,30,1336,1328,1422,1412,1513,1518,1506,1436,1460,1460,1408,1308,1286,1203,1166,1551,0.941,0.8992307692,0.0484615385,0.05,0.0023076923,1300,1169,63,65,3,1,33,16,99,5,86,1220,1213,200,47
6012,DELAURA MIDDLE SCHOOL,yes,Active,middle,'7-8,300 JACKSON AV,"SATELLITE BEACH, FL 32937",1964,62,N/A,20,801,819,844,800,843,842,823,548,488,488,466,467,445,425,423,960,0.508,0.8627906977,0.0581395349,0.0558139535,0.023255814,430,371,25,24,10,0,12,7,30,2,32,405,382,91,15
6013,SPESSARD L. HOLLAND ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,50 HOLLAND CT,"SATELLITE BEACH, FL 32937",1964,62,N/A,20,485,497,502,410,444,432,435,444,425,425,430,411,388,380,363,605,0.702,0.8617021277,0.1028368794,0.0177304965,0.0177304965,282,243,29,5,5,1,19,18,50,0,48,289,302,93,30
6051,SEA PARK ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,300 SEA PARK BLVD,"SATELLITE BEACH, FL 32937",1959,67,N/A,12,317,321,338,272,299,337,327,308,309,309,307,304,298,293,276,461,0.67,0.7250859107,0.206185567,0.0446735395,0.0240549828,291,211,60,13,7,0,6,3,28,1,18,253,225,74,10
6061,SURFSIDE ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,475 CASSIA BLVD,"SATELLITE BEACH, FL 32937",1962,64,N/A,12,455,460,461,438,408,442,419,404,406,406,406,386,383,377,374,541,0.75,0.8428184282,0.0948509485,0.0487804878,0.0135501355,369,311,35,18,5,1,10,1,23,0,25,346,339,49,18
6071,OCEAN BREEZE ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,1101 CHEYENNE DR,"INDIAN HARBOUR BEACH, FL 32937",1964,62,N/A,16,527,532,559,508,538,554,529,499,462,462,467,444,410,389,370,654,0.706,0.806122449,0.1265306122,0.0591836735,0.0081632653,490,395,62,29,4,0,4,4,37,2,23,392,345,104,13
6081,INDIALANTIC ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,1050 N PALM AV,"INDIALANTIC, FL 32903",1957,69,N/A,12,746,740,732,662,671,686,680,664,634,634,609,557,549,522,506,798,0.794,0.9090909091,0.0431432974,0.0354391371,0.0123266564,649,590,28,23,8,1,14,9,67,3,48,492,499,106,29
6082,HERBERT C. HOOVER MIDDLE SCHOOL,yes,Active,middle,'7-8,2000 HAWK HAVEN DR,"INDIALANTIC, FL 32903",1965,61,N/A,32,533,506,494,469,510,505,442,473,461,461,445,454,444,427,432,680,0.678,0.740608229,0.1055456172,0.1252236136,0.0286225403,559,414,59,70,16,0,9,25,47,0,39,341,327,109,25
6101,GEMINI ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,2100 OAK ST,"MELBOURNE, FL 32951",1967,59,N/A,14,430,468,475,426,427,468,445,410,394,394,388,369,354,340,331,711,0.554,0.9863013699,0.0109589041,0,0.002739726,365,360,4,0,1,0,4,1,15,0,19,355,341,41,12
6141,DR. W.J. CREEL ELEMENTARY SCHOOL,yes,Active,elementary,'K-6,200 GLENWOOD DR,"MELBOURNE, FL 32935",1972,54,N/A,21,888,845,825,703,717,626,589,540,476,476,408,393,386,362,360,1048,0.454,0.5732394366,0.3084507042,0.0281690141,0.0901408451,710,407,219,20,64,1,10,103,95,2,49,216,160,288,28
